query_name,clip_top1,clip_top5_mean,hybrid_top1,hybrid_top5_mean,hybrid_wins
a4525-DSC_0096,0.724418,0.713305,0.985131,0.983735,1
a3625-07-11-11-at-10h53m52s-_MG_4480,0.815001,0.805183,0.988999,0.986745,1
a1188-MB_080329_068,0.8535,0.784042,0.985775,0.984688,1
a1195-MB_041123_053,0.805479,0.754602,0.984722,0.98208,1
a2855-IMG_0718,0.939705,0.913479,0.989197,0.98791,1
a0999-WP_CRW_5915,0.85138,0.841816,0.985235,0.984397,1
a4711-_DGW0312,0.89918,0.833346,0.989859,0.988466,1
a1697-07-12-01-at-11h12m05s-_MG_8492,0.88518,0.866215,0.988322,0.987451,1
a5000-kme_0204,0.87221,0.858819,0.993653,0.990935,1
a0038-MB_070908_135,0.859046,0.825216,0.986695,0.985475,1
a0746-050724_185230__I2E5154,0.920302,0.895663,0.984871,0.98027,1
a4296-kme_0430,0.790579,0.781802,0.986925,0.985377,1
a0559-_DSC0007-2,0.878155,0.847637,0.988844,0.987652,1
a4163-MB_070908_098,0.848811,0.839401,0.991506,0.989042,1
a4650-DSC_0019-2,0.748631,0.734384,0.9873,0.984733,1
a2888-kme_480,0.731405,0.717925,0.984595,0.984151,1
a2193-20090128_at_16h44m24__MG_4134,0.782546,0.749634,0.987171,0.985202,1
a0894-dvf_001,0.834978,0.799711,0.98631,0.985547,1
a3888-07-11-26-at-15h06m23s-_MG_7098,0.88443,0.817484,0.988972,0.98608,1
a2741-dgw_152,0.935497,0.906723,0.991187,0.988394,1
a1735-Ja_Pe-91,0.918535,0.849081,0.983517,0.981249,1
a3545-jmac_DSC0491,0.740366,0.72221,0.984326,0.980082,1
a2059-_DSC0033-2,0.881951,0.824975,0.989604,0.988899,1
a3079-_MG_7179,0.893678,0.804353,0.994686,0.986268,1
a0554-DSC_0003,0.835899,0.827697,0.9884,0.98681,1
a4110-dgw_069,0.755689,0.744303,0.986325,0.982684,1
a4041-WP_CRW_9516,0.845187,0.800135,0.984491,0.983929,1
a2392-20090108_at_11h55m12_GM6A8619,0.774906,0.767808,0.98741,0.98564,1
a4056-WP_CRW_0566,0.853447,0.814785,0.989886,0.986401,1
a0011-DSC_0082,0.883309,0.871383,0.988235,0.986986,1
a4062-IMG_1820,0.863465,0.819368,0.986659,0.984569,1
a1085-_DSC6188,0.791692,0.751033,0.990137,0.985615,1
a0457-NKIM_099,0.816409,0.81041,0.987067,0.986564,1
a3385-DSC_0061-2,0.779048,0.763949,0.985178,0.984416,1
a2727-IMG_3992,0.878115,0.819749,0.990635,0.987116,1
a1892-kme_365,0.909624,0.890976,0.991815,0.989741,1
a1916-dvf_065,0.823395,0.800943,0.987767,0.986429,1
a0649-Ja_Pe-77,0.881827,0.860777,0.990354,0.988601,1
a2647-jmac_DSC1283,0.890118,0.877569,0.991652,0.991137,1
a2769-_DSC9755,0.893511,0.888378,0.990338,0.988476,1
a2956-KE_-0035,0.812451,0.78861,0.9882,0.986392,1
a2937-_MG_2373,0.799233,0.774066,0.986409,0.984602,1
a0782-IMG_4498,0.96811,0.960661,0.990838,0.989927,1
a2735-IMG_2044,0.898527,0.880139,0.992198,0.990585,1
a0431-_DSC9183,0.800358,0.780452,0.990027,0.986834,1
